unit,naive,naive_yrs,factors,factors_gdp,factors_yrs,naive_log,naive_yrs_log,factors_log,factors_gdp_log,factors_yrs_log,naive_diff,factors_diff,factors_gdp_diff
EST,.0020000001,.001,.001,.001,,.0040000002,.0020000001,.003,.003,,.0060000001,.003,.0020000001
ETH,.671,.082999997,.014,.0020000001,,.113,.025,.0060000001,.032000002,,.0070000002,.0070000002,.012
FIN,.001,.001,.001,.001,,.0040000002,.0020000001,.003,.003,,.0060000001,.0040000002,.003
FJI,.0020000001,.0020000001,.0040000002,.0020000001,,.0049999999,.0040000002,.003,.0040000002,,.0070000002,.0049999999,.003
FRA,.001,.001,.001,.001,,.0040000002,.0020000001,.0040000002,.003,,.0060000001,.0049999999,.0040000002
GAB,.0020000001,.001,.0020000001,.001,,.0040000002,.003,.0060000001,.0040000002,,.0070000002,.0040000002,.003
GBR,.001,.001,.001,.001,,.0040000002,.0020000001,.003,.003,,.0060000001,.0049999999,.003
GHA,.003,.0020000001,.0040000002,.003,,.0060000001,.0040000002,.0040000002,.0040000002,,.0070000002,.0049999999,.003
GMB,.0040000002,.0020000001,.011,.0020000001,.22499999,.0060000001,.0049999999,.0070000002,.0040000002,.071999997,.0070000002,.0060000001,.0070000002
GRC,.0020000001,.001,.001,.001,,.0040000002,.003,.0040000002,.003,,.0060000001,.0040000002,.003
GTM,.003,.0020000001,.0020000001,.0020000001,,.0060000001,.0040000002,.0070000002,.0049999999,,.0070000002,.0060000001,.0060000001
HKG,.001,.001,.001,.001,,.0040000002,.0020000001,.0040000002,.003,,.0049999999,.0040000002,.0020000001
HRV,.0020000001,.001,.001,.001,,.0040000002,.0020000001,.003,.0040000002,,.0060000001,.0040000002,.0020000001
HTI,.0040000002,.003,.0020000001,.003,,.0080000004,.0049999999,.0070000002,.0080000004,,.0070000002,.0060000001,.0060000001
HUN,.0020000001,.001,.001,.001,,.0040000002,.003,.003,.003,,.0060000001,.0040000002,.003
IDN,.003,.0040000002,.003,.0040000002,.46700001,.0060000001,.0080000004,.0040000002,.0049999999,.27200001,.0070000002,.0049999999,.003
IND,.0040000002,.003,.0070000002,.0060000001,,.0089999996,.0049999999,.0049999999,.0049999999,,.0070000002,.0049999999,.0049999999
IRL,.001,.001,.001,.001,,.0040000002,.003,.003,.003,,.0060000001,.0049999999,.0040000002
IRN,.0020000001,.001,.0020000001,.001,,.0049999999,.003,.017999999,.0049999999,,.0070000002,.0049999999,.0040000002
IRQ,.0020000001,.001,.0020000001,.0020000001,,.0049999999,.0020000001,.0080000004,.0049999999,,.0070000002,.0040000002,.003
ISL,.001,.001,.001,.001,,.0040000002,.0020000001,.0040000002,.003,,.0060000001,.0049999999,.003
ISR,.001,.001,.0020000001,.001,,.0040000002,.003,.003,.0040000002,,.0060000001,.0060000001,.0040000002
ITA,.001,.001,.001,.001,,.0040000002,.003,.0040000002,.003,,.0060000001,.0049999999,.003
JAM,.0020000001,.0020000001,.0020000001,.0020000001,,.0049999999,.0040000002,.0040000002,.0040000002,,.0070000002,.0060000001,.0049999999
JOR,.003,.0020000001,.0020000001,.0020000001,,.0049999999,.0040000002,.0089999996,.011,,.0070000002,.0040000002,.003
JPN,.001,.001,.001,.001,,.0040000002,.003,.003,.003,,.0060000001,.0049999999,.003
KAZ,.0020000001,.001,.001,.0020000001,,.0040000002,.003,.003,.0040000002,,.0060000001,.0040000002,.0020000001
KEN,.0040000002,.003,.0060000001,.0040000002,,.0070000002,.0060000001,.0040000002,.0040000002,,.0070000002,.0049999999,.0040000002
KGZ,.003,.0020000001,.0020000001,.029999999,,.0060000001,.0049999999,.003,.0049999999,,.0080000004,.0049999999,.003
KHM,.0040000002,.003,.0080000004,.0080000004,,.0099999998,.0060000001,.0040000002,.0049999999,,.0070000002,.0060000001,.0049999999
KOR,.0020000001,.0040000002,.0020000001,.001,,.0049999999,.092,.003,.0040000002,,.0060000001,.0049999999,.003
KWT,.001,,.001,,,.003,.001,.0040000002,.0020000001,,.0080000004,,.132
LAO,.0040000002,.003,.0080000004,.0070000002,,.0089999996,.0049999999,.0040000002,.0049999999,,.0070000002,.0060000001,.0049999999
